t,c
0.1,5.43319
0.2,5.43104
0.3,5.45389
0.4,5.53392
0.5,5.68435
0.6,5.79152
0.7,5.84677
0.8,5.9218
0.9,5.99842
1,6.07825
1.1,6.17581
1.2,6.27499
1.3,6.3816
1.4,6.51648
1.5,6.67468
1.6,6.89155
1.7,7.09615
1.8,7.30247
1.9,7.5643
2,7.84058
2.1,8.11584
2.2,8.34522
2.3,8.53772
2.4,8.71311
2.5,8.86983
2.6,9.06575
2.7,9.30878
2.8,9.57263
2.9,9.91451
3,10.3022
3.1,10.7808
3.2,11.3621
3.3,12.1042
3.4,12.8939
3.5,13.9289
3.6,15.0346
3.7,15.9858
3.8,16.7375
3.9,16.9643
4,16.9736
4.1,16.6054
4.2,15.951
4.3,15.2873
4.4,15.028
4.5,15.098
4.6,16.0436
4.7,18.0518
4.8,20.3628
4.9,21.7111
5,22.2263
5.1,23.1611
5.2,24.4043
5.3,26.8921
5.4,28.2176
5.5,30.2747
5.6,33.045
5.7,35.0774
5.8,36.3481
5.9,36.7583
6,36.7229
6.1,34.4018
6.2,30.4783
6.3,27.0445
6.4,25.1075
6.5,23.8321
6.6,22.9756
6.7,21.9584
6.8,21.6406
6.9,21.6582
7,21.6566
7.1,22.3433
7.2,23.9909
7.3,24.6786
7.4,25.2754
7.5,26.4767
7.6,27.666
7.7,30.8652
7.8,36.1591
7.9,37.5652
8,37.6646
8.1,35.7523
8.2,30.7439
8.3,26.7548
8.4,24.4117
8.5,22.5767
8.6,21.6568
8.7,21.6316
8.8,21.6367
8.9,22.2258
9,23.6166
9.1,25.3674
9.2,27.0594
9.3,28.874
9.4,29.4125
9.5,28.2248
9.6,27.0784
9.7,24.3705
9.8,22.2379
9.9,21.6545
10,21.6674
