t,v
0.1,1.17153
0.2,1.17107
0.3,1.176
0.4,1.19325
0.5,1.22569
0.6,1.2488
0.7,1.26071
0.8,1.27689
0.9,1.29341
1,1.31062
1.1,1.33166
1.2,1.35304
1.3,1.37603
1.4,1.40512
1.5,1.43923
1.6,1.48599
1.7,1.53011
1.8,1.5746
1.9,1.63105
2,1.69062
2.1,1.74998
2.2,1.79944
2.3,1.84095
2.4,1.87876
2.5,1.91256
2.6,1.9548
2.7,2.0072
2.8,2.0641
2.9,2.13782
3,2.2214
3.1,2.32461
3.2,2.44995
3.3,2.60997
3.4,2.78025
3.5,3.00342
3.6,3.24183
3.7,3.44693
3.8,3.60902
3.9,3.65793
4,3.65993
4.1,3.58054
4.2,3.43943
4.3,3.29632
4.4,3.24042
4.5,3.25552
4.6,3.45939
4.7,3.89242
4.8,4.39074
4.9,4.68146
5,4.79255
5.1,4.99411
5.2,5.26218
5.3,5.7986
5.4,6.08441
5.5,6.52798
5.6,7.12534
5.7,7.56357
5.8,7.83756
5.9,7.92602
6,7.91837
6.1,7.4179
6.2,6.57189
6.3,5.83146
6.4,5.41381
6.5,5.1388
6.6,4.95412
6.7,4.73478
6.8,4.66624
6.9,4.67005
7,4.66971
7.1,4.81777
7.2,5.17303
7.3,5.32133
7.4,5.45002
7.5,5.70903
7.6,5.96548
7.7,6.65531
7.8,7.79681
7.9,8.09999
8,8.12144
8.1,7.70909
8.2,6.62915
8.3,5.76899
8.4,5.26378
8.5,4.86809
8.6,4.66974
8.7,4.66431
8.8,4.66542
8.9,4.79244
9,5.09233
9.1,5.46985
9.2,5.83469
9.3,6.22595
9.4,6.34207
9.5,6.08596
9.6,5.83879
9.7,5.2549
9.8,4.79505
9.9,4.66926
10,4.67202
